Property_ID,Full_Address,Suburb,Postcode,Property_Type,Beds,Baths,Car_Spaces,Land_Size_sqm,Raw_Price,Numeric_Price,Latitude,Longitude,URL,Last_Updated
2020659284,"43 Greenhills Road, BUNDOORA VIC 3083",BUNDOORA,3083,House,4,2,1,526.0,"$850,000 - $920,000",885000.0,-37.69173,145.05846,https://www.domain.com.au/43-greenhills-road-bundoora-vic-3083-2020659284,2026-03-09
2020652935,"1/46 Beaconsfield Road, BRIAR HILL VIC 3088",BRIAR HILL,3088,House,3,1,2,523.0,"$975,000 - $1,050,000",1012500.0,-37.70736,145.1134,https://www.domain.com.au/1-46-beaconsfield-road-briar-hill-vic-3088-2020652935,2026-03-09
2020653119,"4 Caringal Avenue, DONCASTER VIC 3108",DONCASTER,3108,House,6,3,3,796.0,"$1,250,000 - $1,350,000",1300000.0,-37.78962,145.11942,https://www.domain.com.au/4-caringal-avenue-doncaster-vic-3108-2020653119,2026-03-09
2020653190,"2 Prospect Road, BULLEEN VIC 3105",BULLEEN,3105,House,3,1,1,446.0,"$780,000 - $850,000",815000.0,-37.776043,145.09492,https://www.domain.com.au/2-prospect-road-bulleen-vic-3105-2020653190,2026-03-09
2020653347,"19 Elder Street, WATSONIA VIC 3087",WATSONIA,3087,House,3,2,0,580.0,"$1,050,000 - $1,150,000",1100000.0,-37.711807,145.08669,https://www.domain.com.au/19-elder-street-watsonia-vic-3087-2020653347,2026-03-09
2020653423,"65 Jellicoe Street, IVANHOE VIC 3079",IVANHOE,3079,House,4,3,2,0.0,"EOI $1,650,000 - $1,760,000",1705000.0,-37.758064,145.03581,https://www.domain.com.au/65-jellicoe-street-ivanhoe-vic-3079-2020653423,2026-03-09
2020653507,"1/294 Waiora Road, MACLEOD VIC 3085",MACLEOD,3085,House,3,2,2,323.0,"$1,050,000 - $1,150,000",1100000.0,-37.725628,145.0615,https://www.domain.com.au/1-294-waiora-road-macleod-vic-3085-2020653507,2026-03-09
2020653853,"1/37 Shand Road, RESERVOIR VIC 3073",RESERVOIR,3073,House,3,1,3,0.0,"Auction $750,000 - $795,000",,-37.72085,145.01955,https://www.domain.com.au/1-37-shand-road-reservoir-vic-3073-2020653853,2026-03-09
2020654102,"1/29 Clyde Street, KEW EAST VIC 3102",KEW EAST,3102,Apartment / Unit / Flat,3,2,2,386.0,"$1,350,000 - $1,480,000",1415000.0,-37.794853,145.05516,https://www.domain.com.au/1-29-clyde-street-kew-east-vic-3102-2020654102,2026-03-09
2020654108,"2/126 Somers Avenue, MACLEOD VIC 3085",MACLEOD,3085,Apartment / Unit / Flat,3,1,1,0.0,"$770,000 - $820,000",795000.0,-37.718605,145.07683,https://www.domain.com.au/2-126-somers-avenue-macleod-vic-3085-2020654108,2026-03-09
2020654154,"15 Brassey Avenue, ROSANNA VIC 3084",ROSANNA,3084,House,2,1,0,926.0,"EOI $1,400,000-$1,450,000",1425000.0,-37.736195,145.07341,https://www.domain.com.au/15-brassey-avenue-rosanna-vic-3084-2020654154,2026-03-09
2020654202,"2/140 Parker Street, TEMPLESTOWE VIC 3106",TEMPLESTOWE,3106,Townhouse,3,2,2,0.0,"$1,050,000 - $1,150,000",1100000.0,-37.757915,145.12677,https://www.domain.com.au/2-140-parker-street-templestowe-vic-3106-2020654202,2026-03-09
2020654255,"90 Thompsons Road, BULLEEN VIC 3105",BULLEEN,3105,House,3,1,4,507.0,"$800,000 - $880,000",840000.0,-37.775986,145.0897,https://www.domain.com.au/90-thompsons-road-bulleen-vic-3105-2020654255,2026-03-09
2020654338,"2/13 Sussex Street, PRESTON VIC 3072",PRESTON,3072,Apartment / Unit / Flat,2,1,1,0.0,"EOI $790,000 - $840,000",815000.0,-37.752907,145.01398,https://www.domain.com.au/2-13-sussex-street-preston-vic-3072-2020654338,2026-03-09
2020654347,"1 Wungan Street, MACLEOD VIC 3085",MACLEOD,3085,House,3,2,2,622.0,"EOI $900,000 - $990,000",945000.0,-37.716824,145.0773,https://www.domain.com.au/1-wungan-street-macleod-vic-3085-2020654347,2026-03-09
2020654495,"303/40 Burgundy Street, HEIDELBERG VIC 3084",HEIDELBERG,3084,Apartment / Unit / Flat,1,1,1,0.0,"EOI $380,000 - $418,000",399000.0,-37.75638,145.06921,https://www.domain.com.au/303-40-burgundy-street-heidelberg-vic-3084-2020654495,2026-03-09
2020654536,"2 Dight Avenue, BALWYN NORTH VIC 3104",BALWYN NORTH,3104,House,3,2,2,0.0,"$1,750,000 - $1,900,000",1825000.0,-37.797276,145.07997,https://www.domain.com.au/2-dight-avenue-balwyn-north-vic-3104-2020654536,2026-03-09
2020654538,"1/119 Brown Street, HEIDELBERG VIC 3084",HEIDELBERG,3084,Apartment / Unit / Flat,2,1,1,0.0,"EOI $590,000 - $640,000",615000.0,-37.752007,145.0631,https://www.domain.com.au/1-119-brown-street-heidelberg-vic-3084-2020654538,2026-03-09
2020654574,"64 Elm Grove, KEW EAST VIC 3102",KEW EAST,3102,House,4,2,3,0.0,"Auction $2,250,000 - $2,450,000",,-37.78636,145.04825,https://www.domain.com.au/64-elm-grove-kew-east-vic-3102-2020654574,2026-03-09
2020654688,"2/304 George Street, DONCASTER VIC 3108",DONCASTER,3108,House,3,2,1,393.0,"$955,000 - $1,050,000",1002500.0,-37.778763,145.12943,https://www.domain.com.au/2-304-george-street-doncaster-vic-3108-2020654688,2026-03-09
2020654827,"318D/45 Linden Avenue, IVANHOE VIC 3079",IVANHOE,3079,Apartment / Unit / Flat,2,2,1,0.0,"EOI $530,000 - $580,000",555000.0,-37.754864,145.05437,https://www.domain.com.au/318d-45-linden-avenue-ivanhoe-vic-3079-2020654827,2026-03-09
2020650176,"51A Drysdale Street, RESERVOIR VIC 3073",RESERVOIR,3073,House,3,2,2,0.0,"Auction: $700,000 - $770,000",,-37.729427,145.02065,https://www.domain.com.au/51a-drysdale-street-reservoir-vic-3073-2020650176,2026-03-09
2020650238,"6 Latrobe Street, BULLEEN VIC 3105",BULLEEN,3105,House,5,3,2,0.0,"Auction $1,300,000 - $1,400,000",,-37.764725,145.09816,https://www.domain.com.au/6-latrobe-street-bulleen-vic-3105-2020650238,2026-03-09
2020650676,"62 Childers Street, KEW VIC 3101",KEW,3101,House,3,3,2,808.0,"Auction $2,200,000 - $2,400,000",,-37.797943,145.04227,https://www.domain.com.au/62-childers-street-kew-vic-3101-2020650676,2026-03-09
